Empresa;Consumo 01/2020;Consumo 02/2020;Consumo 03/2020;Consumo 04/2020;Consumo 05/2020;Consumo 06/2020;Consumo 07/2020;Consumo 08/2020;Consumo 09/2020;Consumo 10/2020;Consumo 11/2020;Consumo 12/2020;Email do responsavel
Empresa Gmail;96,3;196,2;390,8;78;155,2;317,4;158,7;83,7;83,775;202,036;99,322;84,24;dmribeiro87@gmail.com
Empresa Outlook;96,3;196,2;390,8;78;155,2;317,4;158,7;83,7;83,775;202,036;99,322;84,24;dinoknot@hotmail.com
Empresa 1;96,3;196,2;390,8;788;1555,2;3174,4;1548,7;783,7;383,775;202,036;99,322;84,24;malesuada.malesuada@mattis.co.uk
Empresa 2;90;198,4;389,6;731,2;1496;2976;1637,1;772,65;390,575;206,912;100,17;86,85;diam.luctus.lobortis@Integertinciduntaliquam.ca
Empresa 3;90,4;198,8;372,8;731,2;1462,4;2924,8;1592,9;846,6;423,725;199,916;99,322;87,75;enim.Curabitur.massa@dolor.edu
Empresa 4;94,7;185,8;384;759,2;1441,6;3126,4;1572,5;767,55;421,175;208,82;95,93;86,94;urna.Ut.tincidunt@seddui.ca
Empresa 5;93,3;182;398,4;752;1598,4;3020,8;1533,4;825,35;382,5;208,396;99,216;84,87;a.magna.Lorem@estarcu.net
Empresa 6;95,4;200;370,8;720;1468,8;3104;1662,6;783,7;418,625;199,068;97,414;85,86;sapien.imperdiet.ornare@feugiat.co.uk
Empresa 7;96,4;184,2;364;757,6;1572,8;3056;1536,8;819,4;383,35;190,8;101,018;88,2;Cum.sociis.natoque@semmolestiesodales.com
Empresa 8;97;181,2;390,4;792,8;1560;2960;1596,3;821,95;396,525;210,092;101,018;87,57;lorem.vehicula.et@semut.org
Empresa 9;100;183,8;374,4;728,8;1470,4;2953,6;1598;804,95;412,675;211,576;104,304;89,55;Proin.mi.Aliquam@dui.co.uk
Empresa 10;92,9;193,4;374,4;754,4;1579,2;3088;1667,7;774,35;406,725;202,036;95,4;81,9;magnis@Nunc.edu
Empresa 11;96,1;181;397,2;756,8;1456;2892,8;1662,6;776,9;397,375;207,76;100,488;86,49;ipsum.primis@Vivamus.edu
Empresa 12;91,3;183,6;366,4;798,4;1542,4;3126,4;1560,6;824,5;416,5;211,152;102,184;86,67;rhoncus.Proin@eros.ca
Empresa 13;96,6;182,8;374,4;754,4;1446,4;2966,4;1547;769,25;397,375;204,792;99,534;87,39;at.augue.id@tempor.com
Empresa 14;90,2;184;368,4;753,6;1526,4;3091,2;1666;780,3;399,925;193,98;103,244;84,96;pharetra.nibh.Aliquam@sagittis.com
Empresa 15;94,7;185,2;390,4;734,4;1488;3024;1547;825,35;397,375;200,976;100,806;82,62;turpis@molestie.edu
Empresa 16;94,6;189,2;376;732;1577,6;3177,6;1650,7;814,3;384,2;193,768;98,792;82,89;Aliquam@ut.com
Empresa 17;96,2;194,4;387,2;774,4;1600;2956,8;1575,9;839,8;418,2;195,252;101,76;88,47;tristique@vel.ca
Empresa 18;90;191,8;394,4;727,2;1462,4;3084,8;1552,1;816,85;395,25;197,372;103,35;81,72;ac@adipiscingenimmi.org
Empresa 19;91,2;184,2;393,2;732,8;1548,8;3052,8;1643,9;834,7;391,85;195,252;104,516;87,3;Morbi.metus@aliquetProin.org
Empresa 20;96,1;189,4;361,2;785,6;1580,8;2950,4;1681,3;809,2;417,35;203,096;99,004;81,9;ultricies.sem@liberoduinec.edu
